food,veg_type,meal,calories,protein,carbs,fat,safe_for,price
Apple,veg,morning,95,0.5,25,0.3,"diabetes,bp,obesity,heart,normal",20
Banana,veg,morning,105,1.3,27,0.4,"diabetes,bp,obesity,heart,normal",15
Orange,veg,morning,62,1.2,15,0.2,"diabetes,bp,obesity,heart,normal",18
Papaya,veg,morning,60,0.6,15,0.1,"diabetes,bp,obesity,heart,normal",25
Watermelon,veg,morning,46,0.9,12,0.2,"diabetes,bp,obesity,heart,normal",20
Pomegranate,veg,morning,83,1.7,19,1.2,"diabetes,bp,heart,normal",60
Oats,veg,morning,150,5.0,27,3.0,"diabetes,bp,obesity,heart,normal",30
Whole Wheat Bread,veg,morning,80,4.0,14,1.0,"diabetes,bp,heart,normal",25
Brown Bread,veg,morning,120,4.0,22,2.0,"diabetes,bp,heart,normal",25
Upma,veg,morning,160,4.0,25,4.0,"diabetes,bp,heart,normal",20
Poha,veg,morning,140,3.0,22,2.0,"diabetes,bp,heart,normal",18
Idli,veg,morning,58,2.0,12,0.5,"diabetes,bp,obesity,heart,normal",15
Boiled Egg,non-veg,morning,70,6.0,1,5.0,"diabetes,bp,heart,normal",8
Egg White,non-veg,morning,17,4.0,0,0.0,"diabetes,bp,obesity,heart,normal",5
Greek Yogurt,veg,morning,100,10.0,6,0.0,"diabetes,bp,obesity,heart,normal",40
Paneer,veg,morning,265,18.0,4,20.0,"diabetes,bp,normal",80
Almonds (10 pieces),veg,morning,70,3.0,3,6.0,"diabetes,bp,heart,normal",50
Walnuts (5 pieces),veg,morning,65,1.5,1,6.5,"diabetes,bp,heart,normal",60
Vegetable Sandwich,veg,morning,200,8.0,30,6.0,"diabetes,bp,heart,normal",40
Egg Sandwich,non-veg,morning,250,12.0,25,12.0,"diabetes,bp,heart,normal",35
Paneer Sandwich,veg,morning,280,15.0,28,14.0,"diabetes,bp,normal",50
Green Tea,veg,morning,2,0.0,0,0.0,"diabetes,bp,obesity,heart,normal",10
Lemon Water,veg,morning,7,0.0,2,0.0,"diabetes,bp,obesity,heart,normal",5
Buttermilk,veg,morning,40,2.0,5,1.0,"diabetes,bp,obesity,heart,normal",15
Fresh Fruit Juice,veg,morning,110,1.0,26,0.0,"bp,heart,normal",30
Berry Smoothie,veg,morning,180,8.0,20,6.0,"diabetes,bp,heart,normal",45
Chia Seed Pudding,veg,morning,160,6.0,15,8.0,"diabetes,bp,heart,normal",55
Steamed Broccoli,veg,afternoon,55,4.0,11,0.6,"diabetes,bp,obesity,heart,normal",40
Steamed Cauliflower,veg,afternoon,25,2.0,5,0.3,"diabetes,bp,obesity,heart,normal",30
